pilot_pattern,pilot_density,snr_db,trial,num_pilots,nmse_oracle_perfect,nmse_oracle_support_ls,nmse_estimated_support_ls,path_recall,path_precision,power_recovery,delay_rmse_bins,doppler_rmse_bins,penalized_delay_rmse_bins,penalized_doppler_rmse_bins,ospa_distance,num_estimated,num_missed,num_false_alarms,false_alarm_rate
random,0.125,0.0,56,112,0.0,0.0026194662483678146,0.1768817287758491,0.75,0.75,0.9249656445252415,0.07580452071335214,0.07556371421032528,0.38070296035155254,0.2584229211562798,0.5242054862963765,4.0,1.0,1.0,0.25
random,0.125,0.0,57,112,0.0,0.02663018372649522,0.13352788830161264,0.75,0.75,0.9904286270153406,0.2487848982329787,0.12025576589127766,0.43248750755553067,0.27082482700552646,0.613114656331656,4.0,1.0,1.0,0.25
random,0.125,0.0,58,112,0.0,0.022402067013756508,0.14517874629331992,0.75,0.75,0.8961480740277669,0.07727069654293367,0.03892785957195812,0.3809239693274402,0.2522628266077675,0.5123545147761809,4.0,1.0,1.0,0.25
random,0.125,0.0,59,112,0.0,0.017620570751057465,0.31882605617298326,0.5,0.5,0.7870796195939221,0.042277533932329324,0.13055102362300983,0.5311720012742573,0.3654063284680601,0.7318988526691282,4.0,2.0,2.0,0.5
random,0.125,0.0,60,112,0.0,0.024676559779970794,0.18337494924403933,0.5,0.5,0.7760666180873804,0.021046479189686364,0.07364146196880458,0.5305388554508906,0.3573675033637662,0.5450481133331583,4.0,2.0,2.0,0.5
random,0.125,0.0,61,112,0.0,0.044115940287061325,0.09663507831823769,1.0,1.0,1.0,0.10032516287052497,0.07878526876725865,0.10032516287052497,0.07878526876725865,0.20669313851166152,4.0,0.0,0.0,0.0
random,0.125,0.0,62,112,0.0,0.013850553875679869,0.09271180795810367,0.5,0.5,0.6582060233519245,0.11789811437214597,0.10553279482077098,0.5368426051332492,0.361342753340013,0.5345476629077556,4.0,2.0,2.0,0.5
random,0.125,0.0,63,112,0.0,0.02586076517030931,0.1855015409664929,0.5,0.5,0.8729456713526169,0.11141093090612562,0.1694568925383354,0.5361494173853822,0.37330660215749534,0.7539658595218307,4.0,2.0,2.0,0.5
random,0.125,0.0,64,112,0.0,0.035281973265675386,0.2671855154900318,0.75,0.75,0.7749700781627086,0.3085880343783444,0.12831973572128505,0.4604833669320942,0.27358630435693476,0.6529675568832357,4.0,1.0,1.0,0.25
random,0.125,0.0,65,112,0.0,0.02034407327298452,0.07919758193096917,0.75,0.75,0.9954313364584189,0.11422275547549936,0.10437354317146157,0.3878274466838465,0.26583900651639464,0.5477931118287716,4.0,1.0,1.0,0.25
